SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs
101,101.35867632807,+40.70256641460,945631951811922816,175.0565230654,16.2417402571,1.8046,-2.944,-8.092,150,16.664390,1.894348,1.0,NGC_2281,Gaia DR2 945631951811922816,101.35869304813,+40.70260125515
102,100.84050119191,+40.36582364740,945540559204597888,175.2254302066,15.7496762029,1.9709,-2.730,-8.585,128,17.867699,2.438169,1.0,NGC_2281,Gaia DR2 945540559204597888,100.84051661886,+40.36586061059
103,101.38773400420,+40.77248088684,945632574584424832,174.9976405360,16.2884052521,1.9130,-2.803,-8.336,122,15.731550,1.528817,1.0,NGC_2281,Gaia DR2 945632574584424832,101.38774994021,+40.77251677795
104,101.22703360325,+41.13755346777,945722287860563072,174.5976244628,16.3129052933,1.9058,-3.779,-8.216,139,12.955578,0.829350,1.0,NGC_2281,Gaia DR2 945722287860563072,101.22705520729,+41.13758884221
105,101.88290519643,+41.06338127668,945663223470199168,174.8613740119,16.7439940340,1.7860,-3.192,-7.568,119,9.323248,0.296051,1.0,NGC_2281,Gaia DR2 945663223470199168,101.88292342407,+41.06341386112
106,101.22333322259,+41.10904109157,945722047342402432,174.6240706317,16.2996214162,1.9384,-2.736,-8.495,136,14.770538,1.219098,1.0,NGC_2281,Gaia DR2 945722047342402432,101.22334885714,+41.10907766726
107,101.85504190096,+41.07151669618,945663326549417728,174.8453737001,16.7274802757,1.8928,-2.827,-8.718,140,15.461758,1.418958,1.0,NGC_2281,Gaia DR2 945663326549417728,101.85505804630,+41.07155423201
108,101.55303237596,+40.83390508482,945655733047529728,174.9871061650,16.4274260242,1.8900,-2.820,-8.021,147,16.181211,1.977273,1.0,NGC_2281,Gaia DR2 945655733047529728,101.55304842346,+40.83393961968
109,101.69004996588,+41.26097552325,945680712577028096,174.6136242408,16.6821868324,1.9268,-2.718,-7.961,106,12.738903,0.770758,1.0,NGC_2281,Gaia DR2 945680712577028096,101.69006553366,+41.26100979978
110,101.63563078072,+41.32387140409,945684316053908224,174.5368269276,16.6675075278,1.9174,-2.574,-8.442,111,16.842573,1.984155,1.0,NGC_2281,Gaia DR2 945684316053908224,101.63564553793,+41.32390775159
111,101.83054769815,+41.12334417307,945666522005081472,174.7879642723,16.7294870750,1.8210,-2.564,-8.473,109,16.555075,1.832578,1.0,NGC_2281,Gaia DR2 945666522005081472,101.83056235302,+41.12338065404
112,101.52055582752,+41.28069011256,945683250901978368,174.5451829126,16.5712065310,1.7925,-2.969,-8.640,140,17.797016,2.343367,1.0,NGC_2281,Gaia DR2 945683250901978368,101.52057283807,+41.28072731256
113,101.53500417175,+41.23253441815,945682082670819200,174.5960353870,16.5633816847,1.7964,-2.910,-8.316,122,15.913350,1.740447,1.0,NGC_2281,Gaia DR2 945682082670819200,101.53502083198,+41.23257022315
114,101.40591040715,+41.01233548735,945673084715209856,174.7712657558,16.3910184400,1.8806,-2.334,-8.187,151,11.217110,0.468143,1.0,NGC_2281,Gaia DR2 945673084715209856,101.40592372493,+41.01237073693
115,101.91083282985,+40.99574195414,945662016582862592,174.9351378260,16.7385815457,2.0979,-2.313,-8.573,130,11.884374,0.629192,1.0,NGC_2281,Gaia DR2 945662016582862592,101.91084602448,+40.99577886567
