SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs
78,261.65898291740,-49.76060373264,5949395261129228544,340.3962908083,-8.0575335435,1.2017,-2.592,-5.094,212,12.524303,0.717773,0.9,IC_4651, ,261.65900019340,-49.76058180014
79,261.75660785942,-49.82498951298,5949394131588330368,340.3764631862,-8.1454652776,1.0615,-2.562,-4.958,226,17.014496,1.520792,0.8,IC_4651, ,261.75662495818,-49.82496816603
80,261.71107752156,-49.76429765919,5949395398568182144,340.4116988545,-8.0877544653,0.9751,-2.349,-5.047,190,12.183518,1.171453,1.0,IC_4651,Gaia DR2 5949395398568182144,261.71109317912,-49.76427592905
81,261.75640909077,-49.82660548446,5949394127257863424,340.3750234220,-8.1462376140,1.0041,-2.269,-5.156,207,12.342415,0.696705,1.0,IC_4651,Gaia DR2 5949394127257863424,261.75642423456,-49.82658328501
82,261.68345913079,-49.82646560951,5949393543142311296,340.3492397403,-8.1067005759,0.9911,-2.561,-5.269,192,13.641288,0.785115,1.0,IC_4651,Gaia DR2 5949393543142311296,261.68347622340,-49.82644292354
83,261.70718507034,-49.84781699398,5949393306954616320,340.3395843329,-8.1311684275,1.0807,-2.041,-4.922,200,15.782300,1.173670,0.9,IC_4651, ,261.70719869838,-49.84779580203
84,261.74103604673,-49.91557687857,5949391932553968384,340.2941829058,-8.1863717951,1.0519,-1.870,-4.479,195,16.748568,1.505064,0.5,IC_4651, ,261.74104855052,-49.91555759399
85,261.66784457219,-49.78175585373,5949395231100012416,340.3815403300,-8.0738698302,1.0197,-2.412,-5.000,200,14.564861,1.044647,0.9,IC_4651, ,261.66786065548,-49.78173432595
86,261.80639149906,-49.89620742308,5949392207442877568,340.3337429832,-8.2111453086,1.0295,-2.357,-5.179,230,15.343936,1.055168,1.0,IC_4651,Gaia DR2 5949392207442877568,261.80640725286,-49.89618512461
87,261.82023338573,-49.93410724021,5949391996973044480,340.3065017314,-8.2392334188,1.1878,-2.471,-4.876,222,17.926579,1.633774,1.0,IC_4651,Gaia DR2 5949391996973044480,261.82024991447,-49.93408624632
88,261.71575199664,-49.94142847542,5949392551040277888,340.2633226594,-8.1867999212,1.1453,-2.385,-5.001,193,15.426767,1.315527,1.0,IC_4651,Gaia DR2 5949392551040277888,261.71576795254,-49.94140694334
89,261.77050341108,-49.83512251996,5949394131588316160,340.3728063232,-8.1585004990,0.9773,-2.096,-5.071,227,15.740340,1.151468,1.0,IC_4651,Gaia DR2 5949394131588316160,261.77051740269,-49.83510068649
90,261.89233362844,-49.81869444319,5949391348449443840,340.4299075217,-8.2155289283,1.0663,-2.376,-4.943,203,14.065176,0.816962,1.0,IC_4651,Gaia DR2 5949391348449443840,261.89234948377,-49.81867316083
91,260.55375448502,-50.43290455142,5925553661483170048,339.4354328315,-7.8361170293,1.1295,-2.130,-4.436,209,13.135931,0.791105,0.3,IC_4651, ,260.55376888235,-50.43288545197
92,260.80529958230,-50.16467910304,5925540364262751232,339.7506738031,-7.8209348962,1.0405,-2.285,-4.833,192,10.569983,1.318459,0.9,IC_4651, ,260.80531494048,-50.16465829429
93,260.83564147385,-50.14262771154,5925540467341966848,339.7800745295,-7.8249132772,0.9872,-2.562,-5.027,193,15.709235,1.181324,0.9,IC_4651, ,260.83565868589,-50.14260606751
94,260.82224771489,-50.20991159440,5925539883226381056,339.7187192099,-7.8550175622,0.9858,-2.567,-5.246,185,14.882682,0.978127,1.0,IC_4651,Gaia DR2 5925539883226381056,260.82226498482,-50.20988900745
95,260.82415029113,-50.16424202000,5925540325575891072,339.7577909552,-7.8307478511,0.9819,-2.438,-4.875,189,13.262780,0.741408,0.9,IC_4651, ,260.82416667752,-50.16422103042
96,260.76358437854,-50.17260675399,5925540158104326784,339.7290691358,-7.8030838614,1.0070,-2.417,-5.083,164,13.752907,0.799994,1.0,IC_4651,Gaia DR2 5925540158104326784,260.76360062662,-50.17258486885
97,260.88601081594,-50.26451196503,5925538714995189504,339.6955789687,-7.9191978560,1.0194,-2.584,-4.976,162,13.412046,0.757829,1.0,IC_4651,Gaia DR2 5925538714995189504,260.88602822016,-50.26449054058
98,260.90540479540,-50.19224782544,5925539397866831488,339.7632994514,-7.8895886648,0.9993,-2.470,-5.044,221,12.232068,0.779117,1.0,IC_4651,Gaia DR2 5925539397866831488,260.90542140660,-50.19222610822
99,260.79451430341,-50.14051827148,5925540497374820736,339.7671136939,-7.8017978948,1.2160,-2.250,-5.007,179,17.305313,1.717239,0.7,IC_4651, ,260.79452941870,-50.14049671356
100,260.86376949915,-50.17019514666,5925539608348484224,339.7669639534,-7.8551795536,1.1289,-2.592,-5.185,191,15.555387,1.163400,1.0,IC_4651,Gaia DR2 5925539608348484224,260.86378692278,-50.17017282235
101,262.11403654639,-49.82386663395,5949473983621760896,340.5038461069,-8.3385439335,1.0664,-2.418,-4.995,235,15.015428,0.971082,1.0,IC_4651,Gaia DR2 5949473983621760896,262.11405268372,-49.82384512770
102,262.22911966637,-49.93977584220,5949470788165870464,340.4457174344,-8.4635526661,0.9995,-3.152,-5.614,238,16.960331,1.476780,0.3,IC_4651, ,262.22914075286,-49.93975167081
103,262.12523703408,-49.93601300305,5949471715878885504,340.4124272181,-8.4052421669,1.0752,-2.175,-4.985,242,13.886253,0.803380,0.9,IC_4651, ,262.12525158342,-49.93599153985
104,262.09613450741,-49.80370491319,5949474189760346112,340.5146703730,-8.3179228151,1.1537,-2.709,-4.846,217,17.092215,0.996824,0.4,IC_4651, ,262.09615257930,-49.80368404847
105,262.20527365342,-49.82747874755,5949473262067179264,340.5329157853,-8.3900240350,1.0149,-2.245,-4.921,219,14.318393,0.853911,0.8,IC_4651, ,262.20528863730,-49.82745755991
106,262.14403273789,-49.76685466974,5949474563409729792,340.5628990726,-8.3240092656,1.0850,-2.094,-4.938,192,11.621443,0.652974,0.9,IC_4651, ,262.14404669646,-49.76683340891
